SUBJECT	SESSION	ROW	SPEAKER	UTTERANCE
22	5	7	C	no, that one.
22	5	8	C	the Thomas one.
22	5	9	P	Thomas one?
22	5	41	P	"one morning, Thomas's driver was particularly excited."
22	5	46	C	I'd like one.
22	5	190	C	I can -- hug a baby ### like this one.
22	5	193	P	you show me another one?
22	5	195	P	### another one in here?
22	5	204	C	I like a baby one -- mice.
22	5	210	C	I like a green one.
22	5	226	C	I like this one.
22	5	231	C	I like this one.
22	5	311	C	I can eat this one.
22	5	402	C	this is the mama one.
22	5	403	C	this is the baby one.
22	5	407	C	I have -- I have one of those.
22	5	408	C	I have one of those.
22	5	412	C	this is a little one.
22	5	415	C	this -- this one.
22	5	416	C	I like this one.
22	5	417	C	this -- like this one?
22	5	421	C	I like that little one.
22	5	422	P	there's a little one.
22	5	426	C	I like this one.
22	5	464	C	I can go on a purple one.
22	5	465	C	### a little one.
22	5	467	C	I can go on a big one.
22	5	471	C	this one.
22	5	472	C	this one!
22	5	547	C	and that's this one.
22	5	624	C	that one.
22	5	625	C	that green one.
22	5	648	C	this one?
22	5	670	P	one.
22	5	675	P	one.
22	5	676	C	one.
22	5	725	C	I push this one right now.
22	5	742	P	one, two, three.
22	5	749	C	a talk one.
22	5	750	P	yeah, a talking one.
22	5	795	C	this one.
22	5	796	C	this one?
22	5	810	P	that's a hard one.
22	5	834	P	one, two.
22	5	845	P	one and --
22	5	849	P	one, two, three, four, five, six, seven
22	5	859	P	this is the one they ask.
22	5	872	P	go one, two, three, four, five, six, seven.
22	5	886	P	that one's on -- you can try it now!
22	5	889	P	the other one on the bottom.
22	5	890	P	the other one on the bottom!
22	5	891	C	which one?
22	5	892	C	this one?
22	5	957	C	### one, no.
22	5	979	C	### one.
22	5	997	C	that one.
22	5	998	C	a big one.
22	5	999	P	a big one?
22	5	1003	C	maybe a red one.
22	5	1004	P	a red one?
22	5	1004	C	can you find a red one?
22	5	1005	C	you ### a red one.
22	5	1006	C	or a little one.
22	5	1007	C	maybe you can, uh, find a big one!
22	5	1008	C	a ### one.
22	5	1016	C	no, this one says ###.
22	5	1029	C	let me see that one.
22	5	1030	C	that's a little one.
22	5	1031	P	yeah, but it's bigger than the other one.
22	5	1033	C	it look it like the other one.
22	5	1035	C	got that one.
