SUBJ	RECR	SESS	STAT	PROJ
206	1	5	0	0
206	1	6	0	0
206	1	7	0	0
206	1	8	0	0
206	1	9	0	0
206	1	10	0	0
206	1	11	0	0
206	1	12	0	0
206	1	16	0	0
206	1	17	0	0
206	1	18	0	0
206	1	19	0	0
206	1	20	0	0
206	1	21	0	0
206	1	22	0	0
206	1	23	0	0
206	1	24	0	0
206	1	25	0	0
206	1	26	0	0
206	1	27	0	0
206	1	13	0	0
206	1	14	0	0
206	1	15	0	0
207	1	1	0	0
207	1	2	0	0
207	1	3	0	0
207	1	4	0	0
207	1	5	0	0
207	1	6	0	0
207	1	7	0	0
207	1	8	0	0
207	1	9	0	0
207	1	10	0	0
207	1	11	0	0
207	1	12	0	0
207	1	16	0	0
207	1	17	0	0
207	1	18	0	0
207	1	19	0	0
207	1	20	0	0
207	1	21	0	0
207	1	22	0	0
207	1	23	0	0
207	1	24	0	0
207	1	25	0	0
207	1	26	0	0
207	1	27	0	0
207	1	13	0	0
207	1	14	0	0
207	1	15	0	0
208	1	1	0	0
208	1	2	0	0
208	1	3	0	0
208	1	4	0	0
208	1	5	0	0
208	1	6	0	0
208	1	7	0	0
208	1	8	0	0
208	1	9	0	0
208	1	10	0	0
208	1	11	0	0
208	1	12	0	0
208	1	16	0	0
208	1	17	0	0
208	1	18	0	0
208	1	19	0	0
208	1	20	0	0
208	1	21	0	0
208	1	22	0	0
208	1	23	0	0
208	1	24	0	0
208	1	25	0	0
208	1	26	0	0
208	1	27	0	0
208	1	13	0	0
208	1	14	0	0
208	1	15	0	0
209	1	1	0	0
209	1	2	0	0
209	1	3	0	0
209	1	4	0	0
209	1	5	0	0
209	1	6	0	0
209	1	7	0	0
209	1	8	0	0
209	1	9	0	0
209	1	10	0	0
209	1	11	0	0
209	1	12	0	0
209	1	16	0	0
209	1	17	0	0
209	1	18	0	0
209	1	19	0	0
209	1	20	0	0
209	1	21	0	0
209	1	22	0	0
209	1	23	0	0
209	1	24	0	0
209	1	25	0	0
209	1	26	0	0
209	1	27	0	0
209	1	13	0	0
209	1	14	0	0
209	1	15	0	0
