ID	STORY	PAGE	DELIM	CLAUSES
100	A	9	9
100	B	6	6
101	A	5	5
101	B	6	6
102	A	8	8
102	B	14	14
103	A	7	7
103	B	10	10
104	A	6	6
104	B	15	15
105	A	6	6
105	B	7	7
106	A	6	6
106	B	6	6
107	A	7	7
107	B	6	6
108	A	11	11
108	B	16	16
109	A	0	0
109	B	13	13
110	A	6	6
110	B	17	15
111	A	7	7
111	B	14	14
112	A	15	15
112	B	10	10
113	A	9	9
113	B	10	10
114	A	8	8
114	B	15	15
115	A	4	4
115	B	9	9
116	A	11	11
116	B	20	20
117	A	12	12
117	B	11	11
118	A	8	8
118	B	8	8
119	A	8	8
119	B	7	7
150	A	8	8
150	B	7	7
151	A	13	10
151	B	12	12
152	A	7	7
152	B	7	7
153	A	7	7
153	B	8	8
154	A	7	7
154	B	12	12
155	A	5	5
155	B	7	7
156	A	2	2
156	B	0	0
157	A	5	5
157	B	7	7
158	A	10	10
158	B	4	4
159	A	6	6
159	B	6	6
160	A	8	8
160	B	18	18
161	A	10	10
161	B	10	10
162	A	8	8
162	B	7	7
163	A	5	5
163	B	8	8
164	A	14	12
164	B	7	7
165	A	0	
165	B	0	0
166	A	6	6
166	B	10	10
167	A	17	15
167	B	21	21
168	A	9	9
168	B	13	13
169	A	6	6
169	B	9	9
170	A	14	14
170	B	9	9
171	A	3	3
171	B	6	6
172	A	10	10
172	B	14	14
173	A	6	5
173	B	8	8
174	A	14	14
174	B	7	7
175	A	14	14
175	B	5	5
176	A	6	6
176	B	7	7
177	A	5	5
177	B	8	8
178	A	8	7
178	B	7	7
179	A	15	16
179	B	13	13
180	A	0	
180	B	7	7
181	A	0	
181	B	7	7
182	A	6	6
182	B	7	7
183	A	6	6
183	B	5	5
184	A	5	5
184	B	3	3
185	A	9	9
185	B	10	10
186	A	10	10
186	B	10	10
187	A	4	4
187	B	5	5
188	A	6	6
188	B	8	8
200	A	7	6
200	B	4	4
201	A	0	0
201	B	3	3
202	A	6	6
202	B	11	11
204	A	16	16
204	B	10	10
205	A	11	11
205	B	12	13
206	A	6	6
206	B	14	14
207	A	15	15
207	B	2	2
210	A	1	1
210	B	0	0
211	A	4	4
211	B	5	5
212	A	20	20
212	B	25	25
213	A	9	9
213	B	0	0
214	A	6	6
214	B	0	0
215	A	10	10
215	B	9	9
216	A	11	11
216	B	6	6
217	A	0	0
217	B	0	0
218	A	8	8
218	B	0	0
220	A	8	8
220	B	6	6
221	A	6	6
221	B	6	6
222	A	0	0
222	B	0	0
223	A	0	0
223	B	0	0
224	A	7	7
224	B	7	6
225	A	4	4
225	B	8	8
226	A	24	24
226	B	8	8
227	A	7	7
227	B	9	9
228	A	3	3
228	B	0	0
230	A	0	0
230	B	6	6
231	A	8	7
231	B	6	6
233	A	6	6
233	B	0	0
235	A	8	8
235	B	4	4
236	A	2	2
236	B	0	0
237	A	6	6
237	B	1	1
238	A	12	12
238	B	1	1
239	A	0	0
239	B	0	0
242	A	0	0
242	B	4	4
250	A	11	11
250	B	12	12
251	A	0	
251	B	12	12
252	A	6	6
252	B	0	0
253	A	12	12
253	B	7	7
254	A	3	3
254	B	6	6
255	A	7	7
255	B	11	11
256	A	7	7
256	B	4	4
257	A	11	11
257	B	8	8
258	A	7	7
258	B	13	13
259	A	9	9
259	B	12	12
260	A	9	9
260	B	8	8
261	A	2	2
261	B	15	14
270	A	4	4
270	B	6	6
271	A	0	
271	B	0	0
272	A	6	6
272	B	5	5
273	A	7	7
273	B	5	5
274	A	6	6
274	B	9	9
275	A	11	11
275	B	11	11
276	A	18	18
276	B	0	0
277	A	8	8
277	B	10	10
278	A	5	5
278	B	2	2
279	A	9	9
279	B	11	11
280	A	6	6
280	B	0	0
281	A	5	5
281	B	8	8
282	A	0	0
282	B	5	5
290	A	4	3
290	B	6	6
291	A	5	5
291	B	8	8
292	A	9	9
292	B	9	9
293	A	4	4
293	B	4	4
294	A	2	2
294	B	0	0
295	A	6	6
295	B	8	8
296	A	5	5
296	B	8	9
297	A	0	0
297	B	4	4
298	A	9	9
298	B	5	5
299	A	6	6
299	B	5	5
300	A	7	7
300	B	7	7
301	A	9	8
301	B	7	7
310	A	8	8
310	B	18	18
311	A	8	8
311	B	13	12
312	A	8	8
312	B	6	6
313	A	8	8
313	B	9	9
314	A	7	7
314	B	0	0
315	A	8	8
315	B	10	10
316	A	10	10
316	B	11	11
317	A	5	5
317	B	5	5
318	A	0	0
318	B	1	1
319	A	5	5
319	B	10	10
320	A	7	7
320	B	1	1
321	A	0	
321	B	0	0
322	A	10	10
322	B	4	4
323	A	5	5
323	B	9	9
330	A	0	0
330	B	0	0
331	A	2	2
331	B	5	5
332	A	20	20
332	B	9	9
333	A	0	0
333	B	0	0
334	A	0	0
334	B	5	5
335	A	12	12
335	B	17	17
336	A	0	0
336	B	0	0
337	A	7	7
337	B	6	6
338	A	5	5
338	B	6	6
339	A	6	6
339	B	7	7
340	A	6	6
340	B	8	8
341	A	0	
341	B	0	0
342	A	9	9
342	B	12	11
343	A	13	13
343	B	7	7
350	A	14	14
350	B	13	13
351	A	10	10
351	B	5	5
352	A	6	6
352	B	6	6
353	A	0	
353	B	7	7
354	A	11	11
354	B	9	9
355	A	6	6
355	B	5	5
356	A	19	19
356	B	10	10
357	A	7	7
357	B	0	0
358	A	0	
358	B	0	0
359	A	0	0
359	B	0	0
360	A	3	3
360	B	0	0
361	A	2	2
361	B	1	1
370	A	10	10
370	B	8	8
371	A	6	6
371	B	9	9
372	A	18	18
372	B	9	9
373	A	6	6
373	B	10	10
374	A	9	9
374	B	18	18
375	A	13	13
375	B	7	7
376	A	4	4
376	B	7	7
377	A	5	5
377	B	5	5
378	A	9	9
378	B	6	6
379	A	8	8
379	B	6	6
380	A	15	15
380	B	5	5
390	A	8	8
390	B	10	10
391	A	15	15
391	B	9	9
392	A	13	13
392	B	8	8
393	A	7	7
393	B	0	0
394	A	12	12
394	B	13	13
395	A	15	14
395	B	9	9
396	A	0	
396	B	0	0
397	A	6	6
397	B	8	8
398	A	7	7
398	B	8	8
399	A	22	22
399	B	9	9
400	A	6	6
400	B	0	0
401	A	10	10
401	B	11	11
410	A	7	7
410	B	4	4
412	A	4	4
412	B	7	7
413	A	8	8
413	B	7	7
414	A	2	2
414	B	7	7
416	A	10	10
416	B	5	5
417	A	10	10
417	B	11	11
418	A	5	5
418	B	5	5
419	A	6	6
419	B	0	0
420	A	7	7
420	B	5	5
421	A	12	12
421	B	10	10
422	A	4	4
422	B	7	7
423	A	8	8
423	B	7	6
430	A	10	10
430	B	9	9
431	A	12	12
431	B	4	4
432	A	6	6
432	B	0	0
433	A	9	8
433	B	11	11
434	A	2	2
434	B	0	0
435	A	5	5
435	B	12	12
436	A	11	11
436	B	9	9
437	A	6	6
437	B	5	5
438	A	0	0
438	B	2	2
439	A	5	5
439	B	7	7
440	A	0	
440	B	14	14
441	A	0	
441	B	0	0
447	A	0	0
447	B	0	0
450	A	9	9
450	B	0	0
451	A	6	6
451	B	7	7
452	A	4	2
452	B	0	0
453	A	7	7
453	B	8	8
454	A	6	6
454	B	9	9
455	A	0	
455	B	12	12
456	A	5	5
456	B	8	8
457	A	8	8
457	B	10	10
458	A	14	14
458	B	10	10
459	A	1	1
